SaleDate,QuantityKg,UnitPrice,WholesalePrice,LossRate,QuantityCluster,AvgPriceKg,RelativeLossRate,MarginRate,segmentation
2020-07-01,5.930010241121734,8.675374087473175,8.180629053077007,5.061292402025367,7.025529751125082,5.087175568113997,5.0219364648335425,6.702633082144131,2
2020-07-02,5.6498167215126776,8.26023180029016,7.758700920727203,5.062001527437992,6.580625775321382,5.093641295821016,5.043061903144789,6.7356037102900235,2
2020-07-03,5.545120279129374,7.829149114282286,7.371785079194582,5.064460457270715,6.255731550389758,5.0766346812145295,5.058549371336109,6.666888371218711,2
2020-07-04,5.520626033798044,7.847915012602057,7.3604095027024545,5.0597243241874805,6.2004896324493854,5.0805149350356045,5.057896935825729,6.733428362715179,2
2020-07-05,5.535148281415774,7.787585477193273,7.29771436509183,5.064748753561765,6.154837639642965,5.071938903581789,5.060392730197071,6.744011650042646,2
2020-07-06,5.373296658689443,7.3533319636201675,6.9022103000507995,5.062853336476743,5.883295552720493,5.071087630371101,5.094382658840539,6.704338746545841,2
2020-07-07,5.367966397795363,7.460369680649741,7.006079426844175,5.064536929116762,6.042609950020629,5.082470032435875,5.098474211104798,6.697568551339211,2
2020-07-08,5.410513116078418,7.513813097378215,7.0209771425916125,5.0556022450569245,5.97378509779941,5.0730807914276355,5.0745462475786205,6.780123088696476,2
2020-07-09,5.357851351900832,7.010303172403573,6.586889143727111,5.071902902537732,5.645412854974153,5.048912762227811,5.1127076562353615,6.694682056079782,2
2020-07-10,5.393910988399924,7.669537437834266,7.129177642773475,5.0510821440829865,6.133377144922823,5.087940603260707,5.072558495618537,6.866204624901079,2
2020-07-11,5.469752236534041,7.631814891857886,7.162250483517645,5.0633930532405955,6.070715478537033,5.072862660078757,5.070834404754464,6.713405490280356,2
2020-07-12,5.427006782337423,7.426245672857648,6.981935017071495,5.0599320138073045,5.872090651328678,5.066048475181742,5.07610279151381,6.67811832840011,2
2020-07-13,5.349406629043498,7.279450113754919,6.839198418951908,5.060005491370352,5.888851271241692,5.071300673165042,5.0979543535771885,6.688883921093257,2
2020-07-14,5.327455527364575,7.273640930084257,6.827943774508432,5.0555164667076795,5.80208926948108,5.076205704313639,5.09854700045083,6.703068174541736,2
2020-07-15,5.401637950357816,7.262481581814462,6.734092565277813,5.063308300483665,5.8318542249449274,5.051556891149396,5.08675660591965,6.898442958048847,2
2020-07-16,5.2426215853614275,7.0414907211146955,6.502610668642024,5.057416696130769,5.609436505509657,5.070898043655733,5.1425991839537915,6.968824595411445,2
2020-07-17,5.240864965261359,7.1328092970629005,6.584101052068138,5.055793075602702,5.6869426984798865,5.079964184828193,5.140156098226583,6.970157041515218,2
2020-07-18,5.305066371138016,7.320388214122598,6.779695025018911,5.056586664340802,5.825971688359029,5.078107373965741,5.108977646941979,6.915768840077906,2
2020-07-19,5.484038829142539,7.562156623982675,7.082473307151746,5.05501396209877,6.070715478537033,5.063331309969618,5.05912414501442,6.74432780212029,2
2020-07-20,5.232355785813997,7.156948855693159,6.704500584198015,5.0451421328976815,5.6869426984798865,5.097524438460725,5.121314241621083,6.73915215524687,2
2020-07-21,5.2976389669302035,6.984707399790175,6.593003938919328,5.063830763429404,5.771411110494695,5.062697566331031,5.125048249956236,6.616584891322635,2
2020-07-22,5.394642331686384,7.429633813312252,6.975077764500294,5.057731904941289,6.033063118626966,5.072602978999812,5.081263986325902,6.702138185975878,2
2020-07-23,5.338693018697788,7.412939238096632,6.857966500756685,5.064801340840486,5.9053355972703265,5.075949017026925,5.109182920242167,6.9319067599677835,2
2020-07-24,5.317376413970114,7.136793714148202,6.60241198267289,5.054074717412125,5.70041135243224,5.058567843360151,5.099842890174854,6.936738312413283,2
2020-07-25,5.345760748444805,7.154451567007572,6.755047318371577,5.067330752812449,5.7899307089606005,5.064690402014484,5.110406533895432,6.60579286789514,2
2020-07-26,5.482517849090906,7.837629482798365,7.256191635024113,5.047967413123772,6.208570641781253,5.078776217483276,5.051875906966103,6.934282926550971,2
2020-07-27,5.445583111318516,7.752202093034411,7.180572692338253,5.055734791847659,6.061434462006007,5.079898158911845,5.067063566983508,6.922938738425291,2
2020-07-28,5.312719979626413,7.273085910403705,6.7755034857080645,5.059042823925142,5.814101773467167,5.0753692360314195,5.110056266543622,6.826228666375394,2
2020-07-29,5.298978978078012,7.285637017111205,6.82088974527173,5.0520804744001895,5.758871382527873,5.084358207876268,5.103506002871243,6.747077970328423,2
2020-07-30,5.262495175531594,7.021253919567917,6.5991360337613285,5.057882651970433,5.54903859815615,5.073730470894346,5.131809043054552,6.689083709041192,2
2020-07-31,5.313202856320814,7.245077415827694,6.795639068349818,5.0528594756460885,5.783795539086172,5.0772130821396635,5.0993432201283655,6.716698100345,2
2020-08-01,5.280715183549607,7.268216302928234,6.756595548905344,5.059494704307316,5.8318542249449274,5.083780017580079,5.125364186098845,6.859351057843983,2
2020-08-02,5.361716329676409,7.345487728984954,6.839637416800682,5.065289507566464,5.814101773467167,5.0682687134636994,5.101641234196322,6.8333882224244915,2
2020-08-03,5.1590746443643765,6.674801724155316,6.177010828236326,5.0667831568248705,5.398119108208447,5.071263140882473,5.248086401180221,6.980534881417532,0
2020-08-04,5.289702192723498,6.91947668025551,6.387771793192457,5.064451412522933,5.579693470942865,5.048029745547785,5.130055504563976,6.984097248282333,2
2020-08-05,5.246852299980238,6.840108322154811,6.292698808813209,5.066400227681093,5.484756957955677,5.0508120789010675,5.159109719169947,7.045693780561766,0
